01083B2D4BY0000000000301,1-DAY MOIST 8.5 -4.00 30P RX
01083B2D4BY0000000000901,1-DAY MOIST 8.5 -4.00 90P RX
01083B2D4BZ0000000000301,1-DAY MOIST 8.5 -3.75 30P RX
01083B2D4BZ0000000000901,1-DAY MOIST 8.5 -3.75 90P RX
01083B2D4CA0000000000301,1-DAY MOIST 8.5 -3.50 30P RX
01083B2D4CA0000000000901,1-DAY MOIST 8.5 -3.50 90P RX
01083B2D4CB0000000000301,1-DAY MOIST 8.5 -3.25 30P RX
01083B2D4CB0000000000901,1-DAY MOIST 8.5 -3.25 90P RX
01083B2D4CD0000000000301,1-DAY MOIST 8.5 -3.00 30P RX
01083B2D4CD0000000000901,1-DAY MOIST 8.5 -3.00 90P RX
01083B2D4CE0000000000301,1-DAY MOIST 8.5 -2.75 30P RX
01083B2D4CE0000000000901,1-DAY MOIST 8.5 -2.75 90P RX
01083B2D4CF0000000000301,1-DAY MOIST 8.5 -2.50 30P RX
01083B2D4CF0000000000901,1-DAY MOIST 8.5 -2.50 90P RX
01083B2D4CG0000000000301,1-DAY MOIST 8.5 -2.25 30P RX
01083B2D4CG0000000000901,1-DAY MOIST 8.5 -2.25 90P RX
01083B2D4CH0000000000301,1-DAY MOIST 8.5 -2.00 30P RX
01083B2D4CH0000000000901,1-DAY MOIST 8.5 -2.00 90P RX
01083B2D4CJ0000000000301,1-DAY MOIST 8.5 -1.75 30P RX
01083B2D4CJ0000000000901,1-DAY MOIST 8.5 -1.75 90P RX
01083B2D4CK0000000000301,1-DAY MOIST 8.5 -1.50 30P RX
01083B2D4CK0000000000901,1-DAY MOIST 8.5 -1.50 90P RX
01083B2D4CL0000000000301,1-DAY MOIST 8.5 -1.25 30P RX
01083B2D4CL0000000000901,1-DAY MOIST 8.5 -1.25 90P RX
01083B2D4CM0000000000301,1-DAY MOIST 8.5 -1.00 30P RX
01083B2D4CM0000000000901,1-DAY MOIST 8.5 -1.00 90P RX
01083B2D4CN0000000000301,1-DAY MOIST 8.5 -0.75 30P RX
01083B2D4CN0000000000901,1-DAY MOIST 8.5 -0.75 90P RX
01083B2D4CP0000000000301,1-DAY MOIST 8.5 -0.50 30P RX
01083B2D4CP0000000000901,1-DAY MOIST 8.5 -0.50 90P RX
01083B2D4CT0000000000301,1-DAY MOIST 8.5 +0.50 30P RX
01083B2D4CT0000000000901,1-DAY MOIST 8.5 +0.50 90P RX
01083B2D4CU0000000000301,1-DAY MOIST 8.5 +0.75 30P RX
01083B2D4CU0000000000901,1-DAY MOIST 8.5 +0.75 90P RX
01083B2D4CV0000000000301,1-DAY MOIST 8.5 +1.00 30P RX
01083B2D4CV0000000000901,1-DAY MOIST 8.5 +1.00 90P RX
01083B2D4CW0000000000301,1-DAY MOIST 8.5 +1.25 30P RX
01083B2D4CW0000000000901,1-DAY MOIST 8.5 +1.25 90P RX
01083B2D4CX0000000000301,1-DAY MOIST 8.5 +1.75 30P RX
01083B2D4CX0000000000901,1-DAY MOIST 8.5 +1.75 90P RX
01083B2D4CY0000000000301,1-DAY MOIST 8.5 +1.50 30P RX
01083B2D4CY0000000000901,1-DAY MOIST 8.5 +1.50 90P RX
01083B2D4CZ0000000000301,1-DAY MOIST 8.5 +2.00 30P RX
01083B2D4CZ0000000000901,1-DAY MOIST 8.5 +2.00 90P RX
01083B2D4DA0000000000301,1-DAY MOIST 8.5 +2.25 30P RX
01083B2D4DA0000000000901,1-DAY MOIST 8.5 +2.25 90P RX
01083B2D4DB0000000000301,1-DAY MOIST 8.5 +2.50 30P RX
01083B2D4DB0000000000901,1-DAY MOIST 8.5 +2.50 90P RX
01083B2D4DC0000000000301,1-DAY MOIST 8.5 +2.75 30P RX
01083B2D4DC0000000000901,1-DAY MOIST 8.5 +2.75 90P RX
01083B2D4DE0000000000301,1-DAY MOIST 8.5 +3.00 30P RX
01083B2D4DE0000000000901,1-DAY MOIST 8.5 +3.00 90P RX
01083B2D4DF0000000000301,1-DAY MOIST 8.5 +3.25 30P RX
01083B2D4DF0000000000901,1-DAY MOIST 8.5 +3.25 90P RX
01083B2D4DG0000000000301,1-DAY MOIST 8.5 +3.50 30P RX
01083B2D4DG0000000000901,1-DAY MOIST 8.5 +3.50 90P RX
01083B2D4DH0000000000301,1-DAY MOIST 8.5 +3.75 30P RX
01083B2D4DH0000000000901,1-DAY MOIST 8.5 +3.75 90P RX
01083B2D4DJ0000000000301,1-DAY MOIST 8.5 +4.00 30P RX
01083B2D4DJ0000000000901,1-DAY MOIST 8.5 +4.00 90P RX
01083B2D4DK0000000000301,1-DAY MOIST 8.5 +4.25 30P RX
01083B2D4DK0000000000901,1-DAY MOIST 8.5 +4.25 90P RX
01083B2D4DL0000000000301,1-DAY MOIST 8.5 +4.50 30P RX
01083B2D4DL0000000000901,1-DAY MOIST 8.5 +4.50 90P RX
01083B2D4DM0000000000301,1-DAY MOIST 8.5 +4.75 30P RX
01083B2D4DM0000000000901,1-DAY MOIST 8.5 +4.75 90P RX
01083B2D4DN0000000000301,1-DAY MOIST 8.5 +5.00 30P RX
01083B2D4DN0000000000901,1-DAY MOIST 8.5 +5.00 90P RX
01083B2D4DP0000000000301,1-DAY MOIST 8.5 +5.25 30P RX
01083B2D4DP0000000000901,1-DAY MOIST 8.5 +5.25 90P RX
01083B2D4DQ0000000000301,1-DAY MOIST 8.5 +5.50 30P RX
01083B2D4DQ0000000000901,1-DAY MOIST 8.5 +5.50 90P RX
01083B2D4DR0000000000301,1-DAY MOIST 8.5 +5.75 30P RX
01083B2D4DR0000000000901,1-DAY MOIST 8.5 +5.75 90P RX
01083B2D4DS0000000000301,1-DAY MOIST 8.5 +6.00 30P RX
01083B2D4DS0000000000901,1-DAY MOIST 8.5 +6.00 90P RX
01083B7D4AS0000000000301,1-DAY MOIST 9.0 -12.00 30P RX
01083B7D4AS0000000000901,1-DAY MOIST 9.0 -12.00 90P RX
01083B7D4AT0000000000301,1-DAY MOIST 9.0 -11.50 30P RX
01083B7D4AT0000000000901,1-DAY MOIST 9.0 -11.50 90P RX
01083B7D4AU0000000000301,1-DAY MOIST 9.0 -11.00 30P RX
01083B7D4AU0000000000901,1-DAY MOIST 9.0 -11.00 90P RX
01083B7D4AV0000000000301,1-DAY MOIST 9.0 -10.50 30P RX
01083B7D4AV0000000000901,1-DAY MOIST 9.0 -10.50 90P RX
01083B7D4AW0000000000301,1-DAY MOIST 9.0 -10.00 30P RX
01083B7D4AW0000000000901,1-DAY MOIST 9.0 -10.00 90P RX
01083B7D4AZ0000000000301,1-DAY MOIST 9.0 -9.50 30P RX
01083B7D4AZ0000000000901,1-DAY MOIST 9.0 -9.50 90P RX
01083B7D4BC0000000000301,1-DAY MOIST 9.0 -9.00 30P RX
01083B7D4BC0000000000901,1-DAY MOIST 9.0 -9.00 90P RX
01083B7D4BE0000000000301,1-DAY MOIST 9.0 -8.50 30P RX
01083B7D4BE0000000000901,1-DAY MOIST 9.0 -8.50 90P RX
01083B7D4BG0000000000301,1-DAY MOIST 9.0 -8.00 30P RX
01083B7D4BG0000000000901,1-DAY MOIST 9.0 -8.00 90P RX
01083B7D4BJ0000000000301,1-DAY MOIST 9.0 -7.50 30P RX
01083B7D4BJ0000000000901,1-DAY MOIST 9.0 -7.50 90P RX
01083B7D4BL0000000000301,1-DAY MOIST 9.0 -7.00 30P RX
01083B7D4BL0000000000901,1-DAY MOIST 9.0 -7.00 90P RX
01083B7D4BN0000000000301,1-DAY MOIST 9.0 -6.50 30P RX
01083B7D4BN0000000000901,1-DAY MOIST 9.0 -6.50 90P RX
01083B7D4BQ0000000000301,1-DAY MOIST 9.0 -6.00 30P RX
01083B7D4BQ0000000000901,1-DAY MOIST 9.0 -6.00 90P RX
01083B7D4BR0000000000301,1-DAY MOIST 9.0 -5.75 30P RX
01083B7D4BR0000000000901,1-DAY MOIST 9.0 -5.75 90P RX
01083B7D4BS0000000000301,1-DAY MOIST 9.0 -5.50 30P RX
01083B7D4BS0000000000901,1-DAY MOIST 9.0 -5.50 90P RX
01083B7D4BT0000000000301,1-DAY MOIST 9.0 -5.25 30P RX
01083B7D4BT0000000000901,1-DAY MOIST 9.0 -5.25 90P RX
01083B7D4BU0000000000301,1-DAY MOIST 9.0 -5.00 30P RX
01083B7D4BU0000000000901,1-DAY MOIST 9.0 -5.00 90P RX
01083B7D4BV0000000000301,1-DAY MOIST 9.0 -4.75 30P RX
01083B7D4BV0000000000901,1-DAY MOIST 9.0 -4.75 90P RX
01083B7D4BW0000000000301,1-DAY MOIST 9.0 -4.50 30P RX
01083B7D4BW0000000000901,1-DAY MOIST 9.0 -4.50 90P RX
01083B7D4BX0000000000301,1-DAY MOIST 9.0 -4.25 30P RX
01083B7D4BX0000000000901,1-DAY MOIST 9.0 -4.25 90P RX
01083B7D4BY0000000000301,1-DAY MOIST 9.0 -4.00 30P RX
01083B7D4BY0000000000901,1-DAY MOIST 9.0 -4.00 90P RX
01083B7D4BZ0000000000301,1-DAY MOIST 9.0 -3.75 30P RX
01083B7D4BZ0000000000901,1-DAY MOIST 9.0 -3.75 90P RX
01083B7D4CA0000000000301,1-DAY MOIST 9.0 -3.50 30P RX
01083B7D4CA0000000000901,1-DAY MOIST 9.0 -3.50 90P RX
01083B7D4CB0000000000301,1-DAY MOIST 9.0 -3.25 30P RX
01083B7D4CB0000000000901,1-DAY MOIST 9.0 -3.25 90P RX
01083B7D4CD0000000000301,1-DAY MOIST 9.0 -3.00 30P RX
01083B7D4CD0000000000901,1-DAY MOIST 9.0 -3.00 90P RX
01083B7D4CE0000000000301,1-DAY MOIST 9.0 -2.75 30P RX
01083B7D4CE0000000000901,1-DAY MOIST 9.0 -2.75 90P RX
01083B7D4CF0000000000301,1-DAY MOIST 9.0 -2.50 30P RX
01083B7D4CF0000000000901,1-DAY MOIST 9.0 -2.50 90P RX
01083B7D4CG0000000000301,1-DAY MOIST 9.0 -2.25 30P RX
01083B7D4CG0000000000901,1-DAY MOIST 9.0 -2.25 90P RX
01083B7D4CH0000000000301,1-DAY MOIST 9.0 -2.00 30P RX
01083B7D4CH0000000000901,1-DAY MOIST 9.0 -2.00 90P RX
01083B7D4CJ0000000000301,1-DAY MOIST 9.0 -1.75 30P RX
01083B7D4CJ0000000000901,1-DAY MOIST 9.0 -1.75 90P RX
01083B7D4CK0000000000301,1-DAY MOIST 9.0 -1.50 30P RX
01083B7D4CK0000000000901,1-DAY MOIST 9.0 -1.50 90P RX
01083B7D4CL0000000000301,1-DAY MOIST 9.0 -1.25 30P RX
01083B7D4CL0000000000901,1-DAY MOIST 9.0 -1.25 90P RX
01083B7D4CM0000000000301,1-DAY MOIST 9.0 -1.00 30P RX
01083B7D4CM0000000000901,1-DAY MOIST 9.0 -1.00 90P RX
01083B7D4CN0000000000301,1-DAY MOIST 9.0 -0.75 30P RX
01083B7D4CN0000000000901,1-DAY MOIST 9.0 -0.75 90P RX
01083B7D4CP0000000000301,1-DAY MOIST 9.0 -0.50 30P RX
01083B7D4CP0000000000901,1-DAY MOIST 9.0 -0.50 90P RX
01083B7D4CT0000000000301,1-DAY MOIST 9.0 +0.50 30P RX
01083B7D4CT0000000000901,1-DAY MOIST 9.0 +0.50 90P RX
01083B7D4CU0000000000301,1-DAY MOIST 9.0 +0.75 30P RX
01083B7D4CU0000000000901,1-DAY MOIST 9.0 +0.75 90P RX
01083B7D4CV0000000000301,1-DAY MOIST 9.0 +1.00 30P RX
01083B7D4CV0000000000901,1-DAY MOIST 9.0 +1.00 90P RX
01083B7D4CW0000000000301,1-DAY MOIST 9.0 +1.25 30P RX
01083B7D4CW0000000000901,1-DAY MOIST 9.0 +1.25 90P RX
01083B7D4CX0000000000301,1-DAY MOIST 9.0 +1.75 30P RX
01083B7D4CX0000000000901,1-DAY MOIST 9.0 +1.75 90P RX
01083B7D4CY0000000000301,1-DAY MOIST 9.0 +1.50 30P RX
01083B7D4CY0000000000901,1-DAY MOIST 9.0 +1.50 90P RX
01083B7D4CZ0000000000301,1-DAY MOIST 9.0 +2.00 30P RX
01083B7D4CZ0000000000901,1-DAY MOIST 9.0 +2.00 90P RX
01083B7D4DA0000000000301,1-DAY MOIST 9.0 +2.25 30P RX
01083B7D4DA0000000000901,1-DAY MOIST 9.0 +2.25 90P RX
01083B7D4DB0000000000301,1-DAY MOIST 9.0 +2.50 30P RX
01083B7D4DB0000000000901,1-DAY MOIST 9.0 +2.50 90P RX
01083B7D4DC0000000000301,1-DAY MOIST 9.0 +2.75 30P RX
01083B7D4DC0000000000901,1-DAY MOIST 9.0 +2.75 90P RX
01083B7D4DE0000000000301,1-DAY MOIST 9.0 +3.00 30P RX
01083B7D4DE0000000000901,1-DAY MOIST 9.0 +3.00 90P RX
01083B7D4DF0000000000301,1-DAY MOIST 9.0 +3.25 30P RX
01083B7D4DF0000000000901,1-DAY MOIST 9.0 +3.25 90P RX
01083B7D4DG0000000000301,1-DAY MOIST 9.0 +3.50 30P RX
01083B7D4DG0000000000901,1-DAY MOIST 9.0 +3.50 90P RX
01083B7D4DH0000000000301,1-DAY MOIST 9.0 +3.75 30P RX
01083B7D4DH0000000000901,1-DAY MOIST 9.0 +3.75 90P RX
01083B7D4DJ0000000000301,1-DAY MOIST 9.0 +4.00 30P RX
01083B7D4DJ0000000000901,1-DAY MOIST 9.0 +4.00 90P RX
01083B7D4DK0000000000301,1-DAY MOIST 9.0 +4.25 30P RX
01083B7D4DK0000000000901,1-DAY MOIST 9.0 +4.25 90P RX
01083B7D4DL0000000000301,1-DAY MOIST 9.0 +4.50 30P RX
01083B7D4DL0000000000901,1-DAY MOIST 9.0 +4.50 90P RX
01083B7D4DM0000000000301,1-DAY MOIST 9.0 +4.75 30P RX
01083B7D4DM0000000000901,1-DAY MOIST 9.0 +4.75 90P RX
01083B7D4DN0000000000301,1-DAY MOIST 9.0 +5.00 30P RX
01083B7D4DN0000000000901,1-DAY MOIST 9.0 +5.00 90P RX
01083B7D4DP0000000000301,1-DAY MOIST 9.0 +5.25 30P RX
01083B7D4DP0000000000901,1-DAY MOIST 9.0 +5.25 90P RX
01083B7D4DQ0000000000301,1-DAY MOIST 9.0 +5.50 30P RX
01083B7D4DQ0000000000901,1-DAY MOIST 9.0 +5.50 90P RX
01083B7D4DR0000000000301,1-DAY MOIST 9.0 +5.75 30P RX
01083B7D4DR0000000000901,1-DAY MOIST 9.0 +5.75 90P RX
01083B7D4DS0000000000301,1-DAY MOIST 9.0 +6.00 30P RX
01083B7D4DS0000000000901,1-DAY MOIST 9.0 +6.00 90P RX
01084B2D4AS0000000000301,1-DAY TRUEYE 8.5 -12.00 30P RX
01084B2D4AS0000000000901,1-DAY TRUEYE  8.5 -12.00 90P RX
01084B2D4AT0000000000301,1-DAY TRUEYE 8.5 -11.50 30P RX
01084B2D4AT0000000000901,1-DAY TRUEYE  8.5 -11.50 90P RX
01084B2D4AU0000000000301,1-DAY TRUEYE 8.5 -11.00 30P RX
01084B2D4AU0000000000901,1-DAY TRUEYE  8.5 -11.00 90P RX
01084B2D4AV0000000000301,1-DAY TRUEYE 8.5 -10.50 30P RX
01084B2D4AV0000000000901,1-DAY TRUEYE  8.5 -10.50 90P RX
01084B2D4AW0000000000301,1-DAY TRUEYE 8.5 -10.00 30P RX
01084B2D4AW0000000000901,1-DAY TRUEYE  8.5 -10.00 90P RX
01084B2D4AZ0000000000301,1-DAY TRUEYE 8.5 -9.50 30P RX
01084B2D4AZ0000000000901,1-DAY TRUEYE  8.5 -9.50 90P RX
01084B2D4BC0000000000301,1-DAY TRUEYE 8.5 -9.00 30P RX
01084B2D4BC0000000000901,1-DAY TRUEYE  8.5 -9.00 90P RX
01084B2D4BE0000000000301,1-DAY TRUEYE 8.5 -8.50 30P RX
01084B2D4BE0000000000901,1-DAY TRUEYE  8.5 -8.50 90P RX
01084B2D4BG0000000000301,1-DAY TRUEYE 8.5 -8.00 30P RX
01084B2D4BG0000000000901,1-DAY TRUEYE  8.5 -8.00 90P RX
01084B2D4BJ0000000000301,1-DAY TRUEYE 8.5 -7.50 30P RX
01084B2D4BJ0000000000901,1-DAY TRUEYE  8.5 -7.50 90P RX
01084B2D4BL0000000000301,1-DAY TRUEYE 8.5 -7.00 30P RX
01084B2D4BL0000000000901,1-DAY TRUEYE  8.5 -7.00 90P RX
01084B2D4BN0000000000301,1-DAY TRUEYE 8.5 -6.50 30P RX
01084B2D4BN0000000000901,1-DAY TRUEYE  8.5 -6.50 90P RX
01084B2D4BQ0000000000301,1-DAY TRUEYE 8.5 -6.00 30P RX
01084B2D4BQ0000000000901,1-DAY TRUEYE  8.5 -6.00 90P RX
01084B2D4BR0000000000301,1-DAY TRUEYE 8.5 -5.75 30P RX
01084B2D4BR0000000000901,1-DAY TRUEYE  8.5 -5.75 90P RX
01084B2D4BS0000000000301,1-DAY TRUEYE 8.5 -5.50 30P RX
01084B2D4BS0000000000901,1-DAY TRUEYE  8.5 -5.50 90P RX
01084B2D4BT0000000000301,1-DAY TRUEYE 8.5 -5.25 30P RX
01084B2D4BT0000000000901,1-DAY TRUEYE  8.5 -5.25 90P RX
01084B2D4BU0000000000301,1-DAY TRUEYE 8.5 -5.00 30P RX
01084B2D4BU0000000000901,1-DAY TRUEYE  8.5 -5.00 90P RX
01084B2D4BV0000000000301,1-DAY TRUEYE 8.5 -4.75 30P RX
01084B2D4BV0000000000901,1-DAY TRUEYE  8.5 -4.75 90P RX
01084B2D4BW0000000000301,1-DAY TRUEYE 8.5 -4.50 30P RX
01084B2D4BW0000000000901,1-DAY TRUEYE  8.5 -4.50 90P RX
01084B2D4BX0000000000301,1-DAY TRUEYE 8.5 -4.25 30P RX
01084B2D4BX0000000000901,1-DAY TRUEYE  8.5 -4.25 90P RX
01084B2D4BY0000000000301,1-DAY TRUEYE 8.5 -4.00 30P RX
01084B2D4BY0000000000901,1-DAY TRUEYE  8.5 -4.00 90P RX
01084B2D4BZ0000000000301,1-DAY TRUEYE 8.5 -3.75 30P RX
01084B2D4BZ0000000000901,1-DAY TRUEYE  8.5 -3.75 90P RX
01084B2D4CA0000000000301,1-DAY TRUEYE 8.5 -3.50 30P RX
01084B2D4CA0000000000901,1-DAY TRUEYE  8.5 -3.50 90P RX
01084B2D4CB0000000000301,1-DAY TRUEYE 8.5 -3.25 30P RX
01084B2D4CB0000000000901,1-DAY TRUEYE  8.5 -3.25 90P RX
01084B2D4CD0000000000301,1-DAY TRUEYE 8.5 -3.00 30P RX
01084B2D4CD0000000000901,1-DAY TRUEYE  8.5 -3.00 90P RX
01084B2D4CE0000000000301,1-DAY TRUEYE 8.5 -2.75 30P RX
01084B2D4CE0000000000901,1-DAY TRUEYE  8.5 -2.75 90P RX
01084B2D4CF0000000000301,1-DAY TRUEYE 8.5 -2.50 30P RX
01084B2D4CF0000000000901,1-DAY TRUEYE  8.5 -2.50 90P RX
01084B2D4CG0000000000301,1-DAY TRUEYE 8.5 -2.25 30P RX
01084B2D4CG0000000000901,1-DAY TRUEYE  8.5 -2.25 90P RX
01084B2D4CH0000000000301,1-DAY TRUEYE 8.5 -2.00 30P RX
01084B2D4CH0000000000901,1-DAY TRUEYE  8.5 -2.00 90P RX
01084B2D4CJ0000000000301,1-DAY TRUEYE 8.5 -1.75 30P RX
01084B2D4CJ0000000000901,1-DAY TRUEYE  8.5 -1.75 90P RX
01084B2D4CK0000000000301,1-DAY TRUEYE 8.5 -1.50 30P RX
01084B2D4CK0000000000901,1-DAY TRUEYE  8.5 -1.50 90P RX
01084B2D4CL0000000000301,1-DAY TRUEYE 8.5 -1.25 30P RX
01084B2D4CL0000000000901,1-DAY TRUEYE  8.5 -1.25 90P RX
01084B2D4CM0000000000301,1-DAY TRUEYE 8.5 -1.00 30P RX
01084B2D4CM0000000000901,1-DAY TRUEYE  8.5 -1.00 90P RX
01084B2D4CN0000000000301,1-DAY TRUEYE 8.5 -0.75 30P RX
01084B2D4CN0000000000901,1-DAY TRUEYE  8.5 -0.75 90P RX
01084B2D4CP0000000000301,1-DAY TRUEYE 8.5 -0.50 30P RX
01084B2D4CP0000000000901,1-DAY TRUEYE  8.5 -0.50 90P RX
01084B2D4CT0000000000301,1-DAY TRUEYE 8.5 +0.50 30P RX
01084B2D4CT0000000000901,1-DAY TRUEYE  8.5 +0.50 90P RX
01084B2D4CU0000000000301,1-DAY TRUEYE 8.5 +0.75 30P RX
01084B2D4CU0000000000901,1-DAY TRUEYE  8.5 +0.75 90P RX
01084B2D4CV0000000000301,1-DAY TRUEYE 8.5 +1.00 30P RX
01084B2D4CV0000000000901,1-DAY TRUEYE  8.5 +1.00 90P RX
01084B2D4CW0000000000301,1-DAY TRUEYE 8.5 +1.25 30P RX
01084B2D4CW0000000000901,1-DAY TRUEYE  8.5 +1.25 90P RX
01084B2D4CX0000000000301,1-DAY TRUEYE 8.5 +1.75 30P RX
01084B2D4CX0000000000901,1-DAY TRUEYE  8.5 +1.75 90P RX
01084B2D4CY0000000000301,1-DAY TRUEYE 8.5 +1.50 30P RX
01084B2D4CY0000000000901,1-DAY TRUEYE  8.5 +1.50 90P RX
01084B2D4CZ0000000000301,1-DAY TRUEYE 8.5 +2.00 30P RX
01084B2D4CZ0000000000901,1-DAY TRUEYE  8.5 +2.00 90P RX
01084B2D4DA0000000000301,1-DAY TRUEYE 8.5 +2.25 30P RX
01084B2D4DA0000000000901,1-DAY TRUEYE  8.5 +2.25 90P RX
01084B2D4DB0000000000301,1-DAY TRUEYE 8.5 +2.50 30P RX
01084B2D4DB0000000000901,1-DAY TRUEYE  8.5 +2.50 90P RX
01084B2D4DC0000000000301,1-DAY TRUEYE 8.5 +2.75 30P RX
01084B2D4DC0000000000901,1-DAY TRUEYE  8.5 +2.75 90P RX
01084B2D4DE0000000000301,1-DAY TRUEYE 8.5 +3.00 30P RX
01084B2D4DE0000000000901,1-DAY TRUEYE  8.5 +3.00 90P RX
01084B2D4DF0000000000301,1-DAY TRUEYE 8.5 +3.25 30P RX
01084B2D4DF0000000000901,1-DAY TRUEYE  8.5 +3.25 90P RX
01084B2D4DG0000000000301,1-DAY TRUEYE 8.5 +3.50 30P RX
01084B2D4DG0000000000901,1-DAY TRUEYE  8.5 +3.50 90P RX
01084B2D4DH0000000000301,1-DAY TRUEYE 8.5 +3.75 30P RX
01084B2D4DH0000000000901,1-DAY TRUEYE  8.5 +3.75 90P RX
01084B2D4DJ0000000000301,1-DAY TRUEYE 8.5 +4.00 30P RX
01084B2D4DJ0000000000901,1-DAY TRUEYE  8.5 +4.00 90P RX
01084B2D4DK0000000000301,1-DAY TRUEYE 8.5 +4.25 30P RX
01084B2D4DK0000000000901,1-DAY TRUEYE  8.5 +4.25 90P RX
01084B2D4DL0000000000301,1-DAY TRUEYE 8.5 +4.50 30P RX
01084B2D4DL0000000000901,1-DAY TRUEYE  8.5 +4.50 90P RX
01084B2D4DM0000000000301,1-DAY TRUEYE 8.5 +4.75 30P RX
01084B2D4DM0000000000901,1-DAY TRUEYE  8.5 +4.75 90P RX
01084B2D4DN0000000000301,1-DAY TRUEYE 8.5 +5.00 30P RX
01084B2D4DN0000000000901,1-DAY TRUEYE  8.5 +5.00 90P RX
01084B2D4DP0000000000301,1-DAY TRUEYE 8.5 +5.25 30P RX
01084B2D4DP0000000000901,1-DAY TRUEYE  8.5 +5.25 90P RX
01084B2D4DQ0000000000301,1-DAY TRUEYE 8.5 +5.50 30P RX
01084B2D4DQ0000000000901,1-DAY TRUEYE  8.5 +5.50 90P RX
01084B2D4DR0000000000301,1-DAY TRUEYE 8.5 +5.75 30P RX
01084B2D4DR0000000000901,1-DAY TRUEYE  8.5 +5.75 90P RX
01084B2D4DS0000000000301,1-DAY TRUEYE 8.5 +6.00 30P RX
01084B2D4DS0000000000901,1-DAY TRUEYE  8.5 +6.00 90P RX
01084B7D4AS0000000000301,1-DAY TRUEYE 9.0 -12.00 30P RX
01084B7D4AS0000000000901,1-DAY TRUEYE  9.0 -12.00 90P RX
01084B7D4AT0000000000301,1-DAY TRUEYE 9.0 -11.50 30P RX
01084B7D4AT0000000000901,1-DAY TRUEYE  9.0 -11.50 90P RX
01084B7D4AU0000000000301,1-DAY TRUEYE 9.0 -11.00 30P RX
01084B7D4AU0000000000901,1-DAY TRUEYE  9.0 -11.00 90P RX
01084B7D4AV0000000000301,1-DAY TRUEYE 9.0 -10.50 30P RX
01084B7D4AV0000000000901,1-DAY TRUEYE  9.0 -10.50 90P RX
01084B7D4AW0000000000301,1-DAY TRUEYE 9.0 -10.00 30P RX
01084B7D4AW0000000000901,1-DAY TRUEYE  9.0 -10.00 90P RX
01084B7D4AZ0000000000301,1-DAY TRUEYE 9.0 -9.50 30P RX
01084B7D4AZ0000000000901,1-DAY TRUEYE  9.0 -9.50 90P RX
